unixtime,load1,load2,load3,price
1432419300,0.1,0.11,0.04,30
1432420200,0.089,0.11,0.039,30
1432421100,0.071,0.105,0.024,30
1432422000,0.072,0.055,0.047,30
1432422900,0.088,0.045,0.045,27.67
1432423800,0.087,0.055,0.035,27.67
1432424700,0.085,0.065,0.06,27.67
1432425600,0.088,0.07,0.041,27.67
1432426500,0.077,0.07,0.022,25.24
1432427400,0.075,0.065,0.047,25.24
1432428300,0.088,0.07,0.032,25.24
1432429200,0.07,0.065,0.029,25.24
1432430100,0.092,0.055,0.04,19.84
1432431000,0.098,0.05,0.04,19.84
1432431900,0.07,0.055,0.039,19.84
1432432800,0.082,0.05,0.05,19.84
1432433700,0.08,0.055,0.05,19.06
1432434600,0.078,0.045,0.035,19.06
1432435500,0.072,0.05,0.03,19.06
1432436400,0.09,0.05,0.035,19.06
1432437300,0.09,0.07,0.046,17.88
1432438200,0.077,0.055,0.127,17.88
1432439100,0.08,0.065,0.067,17.88
1432440000,0.128,0.06,0.108,17.88
1432440900,0.075,0.065,0.068,17.55
1432441800,0.108,0.045,0.054,17.55
1432442700,0.099,0.05,0.048,17.55
1432443600,0.09,0.04,0.018,17.55
1432444500,0.111,0.05,0.007,15.96
1432445400,0.08,0.04,0.01,15.96
1432446300,0.072,0.05,0,15.96
1432447200,0.1,0.04,0,15.96
1432448100,0.088,0.05,0,14.94
1432449000,0.115,0.06,0,14.94
1432449900,0.187,0.065,0,14.94
1432450800,0.11,0.065,0,14.94
1432451700,0.097,0.06,0,16.15
1432452600,0.101,0.05,0,16.15
1432453500,0.472,0.02,0,16.15
1432454400,0.265,0.01,0,16.15
1432455300,0.24,0,0,17.48
1432456200,0.233,0,0,17.48
1432457100,0.245,0,0,17.48
1432458000,0.237,0,0,17.48
1432458900,0.247,0,0,19.3
1432459800,0.518,0,0,19.3
1432460700,0.235,0,0.122,19.3
1432461600,0.475,0,0.123,19.3
1432462500,0.383,0,0.045,19.86
1432463400,0.099,0,0,19.86
1432464300,0.101,0,0,19.86
1432465200,0.237,0,0,19.86
1432466100,0.45,0,0,20.08
1432467000,0.103,0,0,20.08
1432467900,0.109,0,0,20.08
1432468800,0.08,0,0.213,20.08
1432469700,0.093,0,0.287,19.42
1432470600,0.098,0,0.019,19.42
1432471500,0.08,0,0.021,19.42
1432472400,0.089,0,0.02,19.42
1432473300,0.1,0,0.015,18.1
1432474200,0.088,0,0.027,18.1
1432475100,0.085,0,0.063,18.1
1432476000,0.09,0,0.035,18.1
1432476900,0.078,0.07,0.019,15.76
1432477800,0.082,0.01,0.038,15.76
1432478700,0.098,0,0.133,15.76
1432479600,0.08,0,0.433,15.76
