load1,load2,load3,price
0.09,0.2,0.091,30.58
0.1,0.0,0.263,30.58
0.1,0.0,0.078,34.08
0.1,0.01,0.159,34.08
0.105,0.0,0.193,34.08
0.085,0.0,0.083,34.08
0.11,0.0,0.244,37.99
0.14,0.0,0.134,37.99
0.13,0.0,0.151,37.99
0.255,0.02,0.185,37.99
0.135,0.105,0.06,37.82
0.305,0.1,0.145,37.82
0.195,0.13,0.146,37.82
0.14,0.14,0.08,37.82
0.145,0.18,0.191,37.95
0.085,0.2,0.07,37.95
0.105,0.215,0.151,37.95
0.075,0.22,0.16,37.95
0.075,0.215,0.096,37.34
0.105,0.18,0.626,37.34
0.085,0.19,0.41,37.34
0.1,0.175,0.053,37.34
0.075,0.195,0.063,33.03
0.075,0.19,0.135,33.03
0.08,0.21,0.185,33.03
0.075,0.205,0.052,33.03
0.095,0.21,0.27,27.81
0.085,0.325,0.056,27.81
0.075,0.565,0.117,27.81
0.085,0.195,0.173,27.81
0.07,0.13,0.051,26.53
0.085,0.11,0.231,26.53
0.085,0.105,0.06,26.53
0.09,0.07,0.101,26.53
0.08,0.045,0.183,25.57
0.075,0.04,0.064,25.57
0.085,0.045,0.25,25.57
0.08,0.04,0.061,25.57
0.08,0.055,0.163,25.01
0.09,0.06,0.116,25.01
0.095,0.06,0.072,25.01
0.115,0.06,0.22,25.01
0.08,0.06,0.048,26.01
0.075,0.06,0.195,26.01
0.11,0.045,0.111,26.01
0.095,0.155,0.07,26.01
0.145,0.08,0.217,26.6
0.095,0.11,0.016,26.6
0.08,0.08,0.144,26.6
0.09,0.06,0.066,26.6
0.08,0.05,0.138,34.27
0.145,0.065,0.156,34.27
0.13,0.065,0.016,34.27
0.56,0.07,0.14,34.27
0.385,0.025,0.001,39.29
0.475,0.01,0.076,39.29
0.495,0.0,0.416,39.29
0.295,0.0,0.094,39.29
0.14,0.0,0.604,40.56
0.32,0.1,0.701,40.56
0.235,0.0,0.248,40.56
0.21,0.0,0.0,40.56
0.28,0.0,0.0,36.02
0.255,0.0,0.097,36.02
0.315,0.0,0.107,36.02
0.14,0.0,0.006,36.02
0.14,0.0,0.212,34.46
0.295,0.0,0.47,34.46
0.115,0.0,0.445,34.46
0.16,0.0,0.577,34.46
0.1,0.0,0.713,35.64
0.1,0.0,0.108,35.64
0.11,0.0,0.088,35.64
0.11,0.0,0.057,35.64
0.125,0.0,0.052,31.08
0.1,0.0,0.307,31.08
0.1,0.01,0.253,31.08
0.095,0.03,0.408,31.08
0.1,0.0,0.388,29.64
0.11,0.0,0.383,29.64
0.09,0.0,0.508,29.64
0.11,0.0,0.512,29.64
0.1,0.0,0.429,28.69
0.095,0.0,0.572,28.69
0.1,0.0,0.515,28.69
0.085,0.0,0.608,28.69
0.1,0.0,0.503,28.24
0.09,0.0,0.233,28.24
0.08,0.0,0.322,28.24
0.09,0.0,0.146,28.24
0.08,0.0,0.114,28.44
0.095,0.0,0.5,28.44
